timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618816650820,2048,api/login,200,OK,PELAPORAN STAGING 1-2,text,true,,1919,721,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/login,2044,0,944
1618816649932,2936,api/login,200,OK,PELAPORAN STAGING 1-1,text,true,,1923,721,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/login,2932,0,1946
1618816651817,1239,api/login,200,OK,PELAPORAN STAGING 1-3,text,true,,1917,721,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/login,1239,0,420
1618816652815,1346,api/login,200,OK,PELAPORAN STAGING 1-4,text,true,,1921,721,5,5,https://pikobar-pelaporan-api.digitalservice.id/api/login,1345,0,445
1618816653058,1227,api/areas/hospital,200,OK,PELAPORAN STAGING 1-3,text,true,,184090,685,5,5,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,769,0,0
1618816654288,392,api/areas/village/32.17.09.2004,200,OK,PELAPORAN STAGING 1-3,text,true,,1051,684,5,5,https://pikobar-pelaporan-api.digitalservice.id/api/areas/village/32.17.09.2004,392,0,0
1618816652876,2012,api/areas/hospital,200,OK,PELAPORAN STAGING 1-2,text,true,,184083,685,6,6,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,951,0,0
1618816652876,2174,api/areas/hospital,200,OK,PELAPORAN STAGING 1-1,text,true,,184089,685,6,6,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,951,0,0
1618816653817,1328,api/login,200,OK,PELAPORAN STAGING 1-5,text,true,,1919,721,6,6,https://pikobar-pelaporan-api.digitalservice.id/api/login,1328,0,448
1618816654165,1253,api/areas/hospital,200,OK,PELAPORAN STAGING 1-4,text,true,,184081,685,6,6,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,803,0,0
