timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1620166307053,742,api/login,200,OK,PELAPORAN STAGING 1-1,text,true,,1919,721,1,1,https://pikobar-pelaporan-api.digitalservice.id/api/login,733,0,493
1620166307802,291,api/areas/hospital,200,OK,PELAPORAN STAGING 1-1,text,true,,184081,685,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,203,0,0
1620166308095,158,api/areas/village/32.17.09.2004,200,OK,PELAPORAN STAGING 1-1,text,true,,1055,684,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/village/32.17.09.2004,158,0,0
1620166307944,311,api/login,200,OK,PELAPORAN STAGING 1-2,text,true,,1923,721,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/login,311,0,121
1620166308257,158,api/areas/district-city,200,OK,PELAPORAN STAGING 1-1,text,true,,2413,676,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,158,0,0
1620166308261,184,api/areas/hospital,200,OK,PELAPORAN STAGING 1-2,text,true,,184087,685,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,89,0,0
1620166308419,114,api/areas/sub-district/32.17.09,200,OK,PELAPORAN STAGING 1-1,text,true,,1065,684,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17.09,114,0,0
1620166308446,143,api/areas/village/32.17.09.2004,200,OK,PELAPORAN STAGING 1-2,text,true,,1059,684,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/village/32.17.09.2004,142,0,0
1620166308536,108,api/country,200,OK,PELAPORAN STAGING 1-1,text,true,,9541,664,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/country,107,0,0
1620166308593,124,api/areas/district-city,200,OK,PELAPORAN STAGING 1-2,text,true,,2393,676,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,123,0,0
1620166308646,140,api/case-related/32.17,200,OK,PELAPORAN STAGING 1-1,text,true,,1053,675,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/case-related/32.17,140,0,0
1620166308721,78,api/areas/sub-district/32.17.09,200,OK,PELAPORAN STAGING 1-2,text,true,,1063,684,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17.09,78,0,0
1620166308802,124,api/country,200,OK,PELAPORAN STAGING 1-2,text,true,,9545,664,2,2,https://pikobar-pelaporan-api.digitalservice.id/api/country,123,0,0
1620166308789,199,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-1,text,true,,462037,690,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,107,0,0
1620166308928,97,api/case-related/32.17,200,OK,PELAPORAN STAGING 1-2,text,true,,1059,675,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/case-related/32.17,97,0,0
1620166308990,93,api/reports/daily-report,200,OK,PELAPORAN STAGING 1-1,text,true,,3088,677,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/reports/daily-report,93,0,0
1620166309084,239,api/dashboard/v2/summary-case,200,OK,PELAPORAN STAGING 1-1,text,true,,15683,682,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/dashboard/v2/summary-case,239,0,0
1620166308933,395,api/login,200,OK,PELAPORAN STAGING 1-3,text,true,,1917,721,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/login,395,0,90
1620166309324,65,api/dashboard/v2/visualization-case,200,OK,PELAPORAN STAGING 1-1,text,true,,4382,688,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/dashboard/v2/visualization-case,65,0,0
1620166309026,403,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-2,text,true,,462037,690,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,237,0,0
1620166309430,65,api/reports/daily-report,200,OK,PELAPORAN STAGING 1-2,text,true,,3080,677,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/reports/daily-report,64,0,0
1620166309392,118,api/dashboard/v2/summary-case-criteria,200,OK,PELAPORAN STAGING 1-1,text,true,,4396,688,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/dashboard/v2/visualization-case,118,0,0
1620166309330,207,api/areas/hospital,200,OK,PELAPORAN STAGING 1-3,text,true,,184083,685,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,105,0,0
1620166309497,100,api/dashboard/v2/summary-case,200,OK,PELAPORAN STAGING 1-2,text,true,,15687,682,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/dashboard/v2/summary-case,100,0,0
1620166309539,98,api/areas/village/32.17.09.2004,200,OK,PELAPORAN STAGING 1-3,text,true,,1053,684,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/areas/village/32.17.09.2004,97,0,0
1620166309598,110,api/dashboard/v2/visualization-case,200,OK,PELAPORAN STAGING 1-2,text,true,,4394,688,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/dashboard/v2/visualization-case,110,0,0
1620166309708,93,api/dashboard/v2/summary-case-criteria,200,OK,PELAPORAN STAGING 1-2,text,true,,4396,688,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/dashboard/v2/visualization-case,92,0,0
1620166309638,163,api/areas/district-city,200,OK,PELAPORAN STAGING 1-3,text,true,,2395,676,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,162,0,0
1620166309518,321,api/login,200,OK,PELAPORAN STAGING 1-1,text,true,,1927,721,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/login,321,0,91
1620166309801,117,api/areas/sub-district/32.17.09,200,OK,PELAPORAN STAGING 1-3,text,true,,1053,684,3,3,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17.09,116,0,0
1620166309840,183,api/areas/hospital,200,OK,PELAPORAN STAGING 1-1,text,true,,184090,685,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,110,0,0
1620166309919,135,api/country,200,OK,PELAPORAN STAGING 1-3,text,true,,9543,664,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/country,135,0,0
1620166309802,287,api/login,200,OK,PELAPORAN STAGING 1-2,text,true,,1919,721,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/login,287,0,67
1620166310025,101,api/areas/village/32.17.09.2004,200,OK,PELAPORAN STAGING 1-1,text,true,,1055,684,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/village/32.17.09.2004,100,0,0
1620166310127,119,api/areas/district-city,200,OK,PELAPORAN STAGING 1-1,text,true,,2397,676,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/district-city,119,0,0
1620166310056,191,api/case-related/32.17,200,OK,PELAPORAN STAGING 1-3,text,true,,1055,675,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/case-related/32.17,191,0,0
1620166309930,327,api/login,200,OK,PELAPORAN STAGING 1-4,text,true,,1925,721,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/login,326,0,95
1620166310250,95,api/areas/sub-district/32.17.09,200,OK,PELAPORAN STAGING 1-1,text,true,,1063,684,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/sub-district/32.17.09,95,0,0
1620166310091,255,api/areas/hospital,200,OK,PELAPORAN STAGING 1-2,text,true,,184083,685,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,155,0,0
1620166310347,109,api/country,200,OK,PELAPORAN STAGING 1-1,text,true,,9549,664,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/country,109,0,0
1620166310347,166,api/areas/village/32.17.09.2004,200,OK,PELAPORAN STAGING 1-2,text,true,,1057,684,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/village/32.17.09.2004,165,0,0
1620166310259,256,api/areas/hospital,200,OK,PELAPORAN STAGING 1-4,text,true,,184088,685,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/areas/hospital?rs_jabar=true,138,0,0
1620166310250,287,api/map?kode_kab=32.17,200,OK,PELAPORAN STAGING 1-3,text,true,,462040,690,4,4,https://pikobar-pelaporan-api.digitalservice.id/api/map?kode_kab=32.17&kode_kab=32.17,126,0,0
